CH,CQ,G,VSUB,Q_T,T,VGS,RSER,AR,CC,GC,HGAIN,CHADJ,CQADJ,COX,CMIN,TOXNM,INVCHSQR,STRETCHOUT,NCORR,DEPTHM,N90W,DEBYEM,CFB,VFB,PSISPSIO,PHIB,PSIO,PSIS,EIT,DIT,VTH,WMS,QEFF,BEST_LO,BEST_HI,NAVG,TIME,NAVG,TIME
1.425E-10,1.50944E-10,1.E-6,-4.75E+0,0.E+0,5.16E-1,4.75E+0,1.24739E+2,-2.33938E-10,1.42518E-10,-2.33967E-10,1.05795E+0,1.50777E-10,1.50944E-10,1.5076E-10,2.05077E-11,6.37329E+1,4.39978E+19,2.18493E+0,2.70555E+19,-1.77493E-11,5.69052E+15,4.93372E-8,1.15384E-10,1.5381E-1,-1.2182E-4,1.41797E+0,1.62082E-1,-1.62204E-1,5.23296E-2,2.74505E+15,-3.93105E+0,4.65467E-1,1.66262E-8,5.E+1,8.4E+1,5.21624E+15,5.E+0,1.0438E+16,5.E+0
1.427E-10,1.5085E-10,1.E-6,-4.64E+0,2.E-13,7.35E-1,4.64E+0,*,-3.04333E-9,1.42718E-10,-3.0437E-9,*,1.50989E-10,1.5085E-10,*,*,*,4.4014E+19,1.96172E+0,1.71385E+19,-2.43206E-10,*,*,*,*,-1.81229E-4,*,*,-1.62263E-1,5.22702E-2,-3.40491E+14,*,*,*,*,*,*,*,*,*
1.425E-10,1.5074E-10,1.E-6,-4.54E+0,4.E-13,9.38E-1,4.54E+0,*,-2.33938E-10,1.42518E-10,-2.33967E-10,*,1.50777E-10,1.5074E-10,*,*,*,4.40416E+19,1.7643E+0,1.30931E+19,-1.77493E-11,*,*,*,*,-1.67676E-4,*,*,-1.6225E-1,5.22837E-2,5.47513E+15,*,*,*,*,*,*,*,*,*
1.424E-10,1.5075E-10,1.E-6,-4.44E+0,5.E-13,1.157E+0,4.44E+0,*,1.16928E-9,1.42418E-10,1.16942E-9,*,1.50671E-10,1.5075E-10,*,*,*,4.40631E+19,1.68987E+0,1.59125E+19,9.52168E-11,*,*,*,*,-1.60755E-4,*,*,-1.62243E-1,5.22906E-2,4.248E+15,*,*,*,*,*,*,*,*,*
1.424E-10,1.50665E-10,1.E-6,-4.34E+0,6.E-13,1.36E+0,4.34E+0,*,1.16928E-9,1.42418E-10,1.16942E-9,*,1.50671E-10,1.50665E-10,*,*,*,4.40802E+19,1.68766E+0,1.58216E+19,9.52168E-11,*,*,*,*,-9.74577E-5,*,*,-1.62179E-1,5.23539E-2,-3.70085E+13,*,*,*,*,*,*,*,*,*
1.424E-10,1.50608E-10,1.E-6,-4.25E+0,6.E-13,1.578E+0,4.25E+0,*,1.16928E-9,1.42418E-10,1.16942E-9,*,1.50671E-10,1.50608E-10,*,*,*,4.41E+19,1.64788E+0,9.63602E+18,9.52168E-11,*,*,*,*,3.97982E-6,*,*,-1.62078E-1,5.24554E-2,-2.348E+14,*,*,*,*,*,*,*,*,*
1.423E-10,1.50639E-10,1.E-6,-4.15E+0,5.E-13,1.797E+0,4.15E+0,*,2.57132E-9,1.42318E-10,2.57164E-9,*,1.50566E-10,1.50639E-10,*,*,*,4.41394E+19,7.27862E-1,2.90177E+18,2.08326E-10,*,*,*,*,8.44666E-5,*,*,-1.61997E-1,5.25359E-2,1.56168E+14,*,*,*,*,*,*,*,*,*
1.421E-10,1.50605E-10,1.E-6,-4.04E+0,4.E-13,2.E+0,4.04E+0,*,5.37282E-9,1.42118E-10,5.3735E-9,*,1.50354E-10,1.50605E-10,*,*,*,4.41959E+19,7.79343E-1,2.93596E+18,4.35053E-10,*,*,*,*,1.87561E-4,*,*,-1.61894E-1,5.2639E-2,1.99484E+14,*,*,*,*,*,*,*,*,*
1.421E-10,1.50316E-10,1.E-6,-3.94E+0,6.E-13,2.219E+0,3.94E+0,*,5.37282E-9,1.42118E-10,5.3735E-9,*,1.50354E-10,1.50316E-10,*,*,*,4.42409E+19,1.0011E+0,3.83303E+18,4.35053E-10,*,*,*,*,4.82646E-4,*,*,-1.61599E-1,5.2934E-2,-1.06523E+13,*,*,*,*,*,*,*,*,*
1.421E-10,1.50082E-10,1.E-6,-3.85E+0,9.E-13,2.422E+0,3.85E+0,*,5.37282E-9,1.42118E-10,5.3735E-9,*,1.50354E-10,1.50082E-10,*,*,*,4.42862E+19,1.10615E+0,3.7499E+18,4.35053E-10,*,*,*,*,9.32321E-4,*,*,-1.6115E-1,5.33837E-2,-4.94439E+13,*,*,*,*,*,*,*,*,*
1.42E-10,1.5012E-10,1.E-6,-3.75E+0,8.E-13,2.641E+0,3.75E+0,*,6.7721E-9,1.42018E-10,6.77295E-9,*,1.50248E-10,1.5012E-10,*,*,*,4.4343E+19,1.10486E+0,3.53596E+18,5.48657E-10,*,*,*,*,1.35712E-3,*,*,-1.60725E-1,5.38085E-2,-1.96073E+13,*,*,*,*,*,*,*,*,*
1.418E-10,1.50093E-10,1.E-6,-3.64E+0,7.E-13,2.86E+0,3.64E+0,*,9.5675E-9,1.41818E-10,9.56871E-9,*,1.50037E-10,1.50093E-10,*,*,*,4.44057E+19,1.03432E+0,3.14857E+18,7.76328E-10,*,*,*,*,1.80016E-3,*,*,-1.60282E-1,5.42515E-2,5.80521E+12,*,*,*,*,*,*,*,*,*
1.417E-10,1.49965E-10,1.E-6,-3.54E+0,8.E-13,3.063E+0,3.54E+0,*,1.09638E-8,1.41718E-10,1.09652E-8,*,1.49931E-10,1.49965E-10,*,*,*,4.44686E+19,1.05834E+0,3.06177E+18,8.90413E-10,*,*,*,*,2.32777E-3,*,*,-1.59754E-1,5.47792E-2,2.60145E+12,*,*,*,*,*,*,*,*,*
1.417E-10,1.49761E-10,1.1E-6,-3.44E+0,9.E-13,3.282E+0,3.44E+0,*,1.10938E-7,1.41721E-10,1.10954E-7,*,1.49935E-10,1.49761E-10,*,*,*,4.45316E+19,1.1039E+0,2.89155E+18,8.86376E-10,*,*,*,*,2.99099E-3,*,*,-1.59091E-1,5.54424E-2,-1.05767E+13,*,*,*,*,*,*,*,*,*
1.416E-10,1.4957E-10,1.E-6,-3.35E+0,1.E-12,3.485E+0,3.35E+0,*,1.23592E-8,1.41618E-10,1.23607E-8,*,1.49825E-10,1.4957E-10,*,*,*,4.46006E+19,1.09624E+0,2.53537E+18,1.00466E-9,*,*,*,*,3.78061E-3,*,*,-1.58301E-1,5.6232E-2,-1.14961E+13,*,*,*,*,*,*,*,*,*
1.414E-10,1.49549E-10,1.E-6,-3.25E+0,1.E-12,3.703E+0,3.25E+0,*,1.51467E-8,1.41418E-10,1.51486E-8,*,1.49613E-10,1.49549E-10,*,*,*,4.46811E+19,1.03183E+0,2.45297E+18,1.23362E-9,*,*,*,*,4.58409E-3,*,*,-1.57498E-1,5.70355E-2,-2.32553E+12,*,*,*,*,*,*,*,*,*
1.413E-10,1.4958E-10,9.E-7,-3.14E+0,8.E-13,3.907E+0,3.14E+0,*,-8.34373E-8,1.41314E-10,-8.34458E-8,*,1.49504E-10,1.4958E-10,*,*,*,4.47615E+19,9.9645E-1,2.28078E+18,1.3524E-9,*,*,*,*,5.36707E-3,*,*,-1.56715E-1,5.78185E-2,2.57415E+12,*,*,*,*,*,*,*,*,*
1.412E-10,1.49553E-10,9.E-7,-3.04E+0,9.E-13,4.125E+0,3.04E+0,*,-8.20459E-8,1.41214E-10,-8.20542E-8,*,1.49398E-10,1.49553E-10,*,*,*,4.48482E+19,9.87193E-1,2.14099E+18,1.4673E-9,*,*,*,*,6.1683E-3,*,*,-1.55914E-1,5.86197E-2,4.70838E+12,*,*,*,*,*,*,*,*,*
